priority rank,old URL,old title,old content type,page type,current status,GSC clicks,GSC impressions,average position,source body available,image available,current redirect status,Sanity public status,Sanity hidden/draft status,duplicate/cannibalization risk,legal/current-law risk,recommended action,recommended final URL,canonical URL,sitemap status,SEO/AEO/GEO opportunity,priority score,notes
90,https://chamanlawfirm.com/deal-with-and-bad-tenant-as-a-landlord,Deal With And Bad Tenant As A Landlord,property/title,blog,redirect configured to /resources/blog/deal-with-and-bad-tenant-as-a-landlord,130,7642,7.8,yes,yes,configured to /resources/blog/deal-with-and-bad-tenant-as-a-landlord,approved public,hidden/unapproved,low - public canonical target exists,high - lawyer review required before publication,already redirected,https://chamanlawfirm.com/resources/blog/deal-with-and-bad-tenant-as-a-landlord,https://chamanlawfirm.com/resources/blog/deal-with-and-bad-tenant-as-a-landlord,included,answer block; FAQs where useful; practice-area links; consultation CTA,926,image recovery/fallback required
91,https://chamanlawfirm.com/probate-in-lagos-everything-you-need-to-know,Probate In Lagos Everything You Need To Know,probate/estate,service,hidden Sanity record; old URL unresolved,94,6122,4.79,yes,not confirmed,not configured,not public,hidden/unapproved,medium - compare against live practice/blog pages,medium - current-law verification required before publication,defer for static/service review,https://chamanlawfirm.com/practice-areas/probate-estate-administration,https://chamanlawfirm.com/practice-areas/probate-estate-administration,included,service answer block; process steps; FAQs; contact CTA,925,"Needs full content, image, canonical, and legal review before publication."
92,https://chamanlawfirm.com/what-governs-contract-in-nigeria,What Governs Contract In Nigeria,corporate/commercial,blog,redirect configured to /resources/blog/what-governs-contract-in-nigeria,119,13789,8.55,yes,yes,configured to /resources/blog/what-governs-contract-in-nigeria,approved public,none detected,low - public canonical target exists,medium - current-law verification required before publication,already redirected,https://chamanlawfirm.com/resources/blog/what-governs-contract-in-nigeria,https://chamanlawfirm.com/resources/blog/what-governs-contract-in-nigeria,included,answer block; FAQs where useful; practice-area links; consultation CTA,922,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
93,https://chamanlawfirm.com/land-registration-system-in-nigeria,Land Registration System In Nigeria,property/title,blog,hidden Sanity record; old URL unresolved,101,7937,7.31,yes,yes,not configured,not public,hidden/unapproved,medium - compare against live practice/blog pages,medium - current-law verification required before publication,restore as blog after review,https://chamanlawfirm.com/resources/blog/land-registration-system-in-nigeria,https://chamanlawfirm.com/resources/blog/land-registration-system-in-nigeria,not included,answer block; FAQs where useful; practice-area links; consultation CTA,905,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
94,https://chamanlawfirm.com/obtaining-governor-consent-for-land-transactions,Obtaining Governor Consent For Land Transactions,property/title,blog,redirect configured to /resources/blog/obtaining-governor-consent-for-land-transactions,115,14071,6.76,yes,yes,configured to /resources/blog/obtaining-governor-consent-for-land-transactions,approved public,none detected,low - public canonical target exists,medium - current-law verification required before publication,already redirected,https://chamanlawfirm.com/resources/blog/obtaining-governor-consent-for-land-transactions,https://chamanlawfirm.com/resources/blog/obtaining-governor-consent-for-land-transactions,included,answer block; FAQs where useful; practice-area links; consultation CTA,901,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
95,https://chamanlawfirm.com/laspppa-what-it-is-and-why-it-matters-in-lagos,Laspppa What It Is And Why It Matters In Lagos,general legal education,blog,hidden Sanity record; old URL unresolved,88,15004,6.39,yes,not confirmed,not configured,not public,hidden/unapproved,medium - compare against live practice/blog pages,medium - current-law verification required before publication,restore as blog after review,https://chamanlawfirm.com/resources/blog/laspppa-what-it-is-and-why-it-matters-in-lagos,https://chamanlawfirm.com/resources/blog/laspppa-what-it-is-and-why-it-matters-in-lagos,not included,answer block; FAQs where useful; practice-area links; consultation CTA,898,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
96,https://chamanlawfirm.com/how-to-legally-sublet-a-property-in-nigeria,How To Legally Sublet A Property In Nigeria,property/title,blog,redirect configured to /resources/blog/how-to-legally-sublet-a-property-in-nigeria,124,8399,5.65,yes,yes,configured to /resources/blog/how-to-legally-sublet-a-property-in-nigeria,approved public,hidden/unapproved,low - public canonical target exists,medium - current-law verification required before publication,already redirected,https://chamanlawfirm.com/resources/blog/how-to-legally-sublet-a-property-in-nigeria,https://chamanlawfirm.com/resources/blog/how-to-legally-sublet-a-property-in-nigeria,included,answer block; FAQs where useful; practice-area links; consultation CTA,898,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
97,https://chamanlawfirm.com/5-lis-pendens-understanding-the-doctrine,5 Lis Pendens Understanding The Doctrine,general legal education,blog,hidden Sanity record; old URL unresolved,103,5850,8.26,yes,not confirmed,not configured,not public,hidden/unapproved,medium - compare against live practice/blog pages,blocked - off-brand/property-sales or spam signal,restore as blog after review,https://chamanlawfirm.com/resources/blog/5-lis-pendens-understanding-the-doctrine,https://chamanlawfirm.com/resources/blog/5-lis-pendens-understanding-the-doctrine,not included,answer block; FAQs where useful; practice-area links; consultation CTA,897,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
98,https://chamanlawfirm.com/documents-apostilled-in-nigeria,Documents Apostilled In Nigeria,notary/documentation,service,redirect configured to /practice-areas/notary-public-services,108,16563,6.04,not confirmed,not confirmed,configured to /practice-areas/notary-public-services,not public,none detected,unknown,low/medium - editorial legal review required,already redirected,https://chamanlawfirm.com/practice-areas/notary-public-services,https://chamanlawfirm.com/practice-areas/notary-public-services,included,service answer block; process steps; FAQs; contact CTA,884,Sprint 11E urgent non-blog rescue candidate; target is existing public service/practice page.
99,https://chamanlawfirm.com/lagos-tenancy-fixed-and-periodic-tenancies,Lagos Tenancy Fixed And Periodic Tenancies,general legal education,blog,hidden Sanity record; old URL unresolved,100,6197,7.07,yes,yes,not configured,not public,hidden/unapproved,medium - compare against live practice/blog pages,high - lawyer review required before publication,restore as blog after review,https://chamanlawfirm.com/resources/blog/lagos-tenancy-fixed-and-periodic-tenancies,https://chamanlawfirm.com/resources/blog/lagos-tenancy-fixed-and-periodic-tenancies,not included,answer block; FAQs where useful; practice-area links; consultation CTA,882,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
100,https://chamanlawfirm.com/how-to-obtain-tax-clearance-certificate,How To Obtain Tax Clearance Certificate,corporate/commercial,blog,hidden Sanity record; old URL unresolved,102,14116,13.13,yes,yes,not configured,not public,hidden/unapproved,medium - compare against live practice/blog pages,medium - current-law verification required before publication,restore as blog after review,https://chamanlawfirm.com/resources/blog/how-to-obtain-tax-clearance-certificate,https://chamanlawfirm.com/resources/blog/how-to-obtain-tax-clearance-certificate,not included,answer block; FAQs where useful; practice-area links; consultation CTA,873,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
