priority rank,old URL,old title,old content type,current status,clicks,impressions,average position,backlink/ranking evidence,source body found,source body quality,image found,old media found,current Sanity status,current redirect status,sitemap status,page type,legal risk,current-law risk,duplicate/cannibalization risk,business value,recommended recovery path,proposed final URL,priority score,notes
173,https://chamanlawfirm.com/how-to-legalize-or-attest-a-document-in-nigeria/,How To Legalize Or Attest A Document In Nigeria,notary/documentation,live 404,70,70,,70 clicks; 8505 impressions; avg position 13.68 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-legalize-or-attest-a-document-in-nigeria,801,Attempt recovery before rejection; keep hidden unless all publication gates pass.
174,https://chamanlawfirm.com/basic-elements-of-defamatory-statement/,Basic Elements Of Defamatory Statement,general legal education,live 404,70,70,,70 clicks; 3672 impressions; avg position 23.39 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/basic-elements-of-defamatory-statement,801,Attempt recovery before rejection; keep hidden unless all publication gates pass.
175,https://chamanlawfirm.com/selling-a-family-land-without-everyones-consent/,Selling A Family Land Without Everyones Consent,property/title,hidden Sanity draft; do not redirect,79,79,,79 clicks; 7191 impressions; avg position 5.54 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,not confirmed,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/selling-a-family-land-without-everyones-consent,791,Attempt recovery before rejection; keep hidden unless all publication gates pass.
176,https://chamanlawfirm.com/legalisation-authentication-of-marriage-certificate-in-nigeria/,Legalisation Authentication Of Marriage Certificate In Nigeria,family law,redirect configured to /resources/blog/legalisation-authentication-of-marriage-certificate-in-nigeria,77,77,,77 clicks; 5655 impressions; avg position 12.44 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/legalisation-authentication-of-marriage-certificate-in-nigeria,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/legalisation-authentication-of-marriage-certificate-in-nigeria,771,Attempt recovery before rejection; keep hidden unless all publication gates pass.
177,https://chamanlawfirm.com/statute-limitations-and-limitation-periods/,Statute Limitations And Limitation Periods,general legal education,live 404,67,67,,67 clicks; 7202 impressions; avg position 10.33 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/statute-limitations-and-limitation-periods,771,Attempt recovery before rejection; keep hidden unless all publication gates pass.
178,https://chamanlawfirm.com/how-to-make-complaint-for-estimated-bills-in-nigeria/,How To Make Complaint For Estimated Bills In Nigeria,general legal education,live 404,66,66,,66 clicks; 2677 impressions; avg position 11.57 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-make-complaint-for-estimated-bills-in-nigeria,761,Attempt recovery before rejection; keep hidden unless all publication gates pass.
179,https://chamanlawfirm.com/the-morgage-sell-the-mortgaged-property/,The Morgage Sell The Mortgaged Property,property/title,approved Sanity post; missing old-url redirect,75,75,,75 clicks; 4900 impressions; avg position 16.92 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/the-morgage-sell-the-mortgaged-property,751,Attempt recovery before rejection; keep hidden unless all publication gates pass.
180,https://chamanlawfirm.com/or-filing-interlocutory-applications/,Or Filing Interlocutory Applications,general legal education,live 404,65,65,,65 clicks; 9654 impressions; avg position 10.06 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/or-filing-interlocutory-applications,751,Attempt recovery before rejection; keep hidden unless all publication gates pass.
181,https://chamanlawfirm.com/procedure-for-mergers-and-acquisitions-in-nigeria/,Procedure For Mergers And Acquisitions In Nigeria,general legal education,live 404,65,65,,65 clicks; 3333 impressions; avg position 15.51 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/procedure-for-mergers-and-acquisitions-in-nigeria,751,Attempt recovery before rejection; keep hidden unless all publication gates pass.
182,https://chamanlawfirm.com/government-acquisition-in-ogun-state/,Government Acquisition In Ogun State,general legal education,live 404,65,65,,65 clicks; 3190 impressions; avg position 6.98 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/government-acquisition-in-ogun-state,751,Attempt recovery before rejection; keep hidden unless all publication gates pass.
183,https://chamanlawfirm.com/fencing-approval-in-lagos-key-requirements/,Fencing Approval In Lagos Key Requirements,general legal education,live 404,65,65,,65 clicks; 3092 impressions; avg position 6.71 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/fencing-approval-in-lagos-key-requirements,751,Attempt recovery before rejection; keep hidden unless all publication gates pass.
184,https://chamanlawfirm.com/how-to-obtain-dual-citizenship-in-nigeria-a/,How To Obtain Dual Citizenship In Nigeria A,immigration,approved Sanity post; missing old-url redirect,74,74,,74 clicks; 17312 impressions; avg position 18.62 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/how-to-obtain-dual-citizenship-in-nigeria-a,741,Attempt recovery before rejection; keep hidden unless all publication gates pass.
185,https://chamanlawfirm.com/what-is-a-deed-of-assent-in-nigeria/,What Is A Deed Of Assent In Nigeria,property/title,redirect configured to /resources/blog/what-is-a-deed-of-assent-in-nigeria,74,74,,74 clicks; 8388 impressions; avg position 11.89 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/what-is-a-deed-of-assent-in-nigeria,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/what-is-a-deed-of-assent-in-nigeria,741,Attempt recovery before rejection; keep hidden unless all publication gates pass.
186,https://chamanlawfirm.com/contact-for-legal-consultation/,Contact For Legal Consultation,general legal education,redirect configured to /consultation,74,74,,74 clicks; 7109 impressions; avg position 9.19 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,redirect configured to /consultation,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/consultation,741,Attempt recovery before rejection; keep hidden unless all publication gates pass.
187,https://chamanlawfirm.com/analysis-of-the-nigerian-legal-system/,Analysis Of The Nigerian Legal System,general legal education,live 404,64,64,,64 clicks; 14572 impressions; avg position 25.36 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/analysis-of-the-nigerian-legal-system,741,Attempt recovery before rejection; keep hidden unless all publication gates pass.
188,https://chamanlawfirm.com/legal-remedies-for-breach-of-land-sale-contract/,Legal Remedies For Breach Of Land Sale Contract,property/title,approved Sanity post; missing old-url redirect,73,73,,73 clicks; 4149 impressions; avg position 6.69 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/legal-remedies-for-breach-of-land-sale-contract,731,Attempt recovery before rejection; keep hidden unless all publication gates pass.
189,https://chamanlawfirm.com/how-to-obtain-an-infant-visa-in-nigeria/,How To Obtain An Infant Visa In Nigeria,immigration,approved Sanity post; missing old-url redirect,72,72,,72 clicks; 6160 impressions; avg position 8.59 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/how-to-obtain-an-infant-visa-in-nigeria,721,Attempt recovery before rejection; keep hidden unless all publication gates pass.
190,https://chamanlawfirm.com/individual-tax-clearance-certificate/,Individual Tax Clearance Certificate,corporate/commercial,hidden Sanity draft; do not redirect,72,72,,72 clicks; 4649 impressions; avg position 11.96 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/individual-tax-clearance-certificate,721,Attempt recovery before rejection; keep hidden unless all publication gates pass.
191,https://chamanlawfirm.com/challenges-of-customary-marriage/,Challenges Of Customary Marriage,family law,live 404,62,62,,62 clicks; 6047 impressions; avg position 13.26 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/challenges-of-customary-marriage,721,Attempt recovery before rejection; keep hidden unless all publication gates pass.
192,https://chamanlawfirm.com/real-estate-taxes-in-nigeria-transactions/,Real Estate Taxes In Nigeria Transactions,property/title,approved Sanity post; missing old-url redirect,70,70,,70 clicks; 6388 impressions; avg position 17.54 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/real-estate-taxes-in-nigeria-transactions,701,Attempt recovery before rejection; keep hidden unless all publication gates pass.
193,https://chamanlawfirm.com/taxes-on-real-estate-transactions-in-nigeria/,Taxes On Real Estate Transactions In Nigeria,property/title,hidden Sanity draft; do not redirect,70,70,,70 clicks; 5596 impressions; avg position 16.48 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/taxes-on-real-estate-transactions-in-nigeria,701,Attempt recovery before rejection; keep hidden unless all publication gates pass.
194,https://chamanlawfirm.com/domestic-violence-ground-for-dissolution-of-marriage-and-its-criminal-implications/,Domestic Violence Ground For Dissolution Of Marriage And Its Criminal Implications,family law,redirect configured to /resources/blog/domestic-violence-ground-for-dissolution-of-marriage-and-its-criminal-implications,70,70,,70 clicks; 1177 impressions; avg position 17.81 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/domestic-violence-ground-for-dissolution-of-marriage-and-its-criminal-implications,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/domestic-violence-ground-for-dissolution-of-marriage-and-its-criminal-implications,701,Attempt recovery before rejection; keep hidden unless all publication gates pass.
195,https://chamanlawfirm.com/what-are-the-top-gated-estates-in-lekki/,What Are The Top Gated Estates In Lekki,probate/estate,live 404,60,60,,60 clicks; 7832 impressions; avg position 7.61 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,blocked - off-brand/spam/luxury signal,medium,requires check,score based on local GSC evidence,reject/archive only if there is no SEO value and no safe legal value,https://chamanlawfirm.com/resources/blog/what-are-the-top-gated-estates-in-lekki,701,Attempt recovery before rejection; keep hidden unless all publication gates pass.
196,https://chamanlawfirm.com/how-do-i-process-survey-plan-approval-in-ogun/,How Do I Process Survey Plan Approval In Ogun,property/title,redirect configured to /resources/blog/how-do-i-process-survey-plan-approval-in-ogun,69,69,,69 clicks; 3378 impressions; avg position 8.8 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/how-do-i-process-survey-plan-approval-in-ogun,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-do-i-process-survey-plan-approval-in-ogun,691,Attempt recovery before rejection; keep hidden unless all publication gates pass.
197,https://chamanlawfirm.com/7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit/,7 Effective Steps To Take When A Landlord Refuses To Return Your Rent Deposit,property/title,hidden Sanity draft; do not redirect,68,68,,68 clicks; 5171 impressions; avg position 12.34 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit,681,Attempt recovery before rejection; keep hidden unless all publication gates pass.
198,https://chamanlawfirm.com/how-to-resolve-land-disputes-in-nigeria-with/,How To Resolve Land Disputes In Nigeria With,property/title,hidden Sanity draft; do not redirect,68,68,,68 clicks; 3377 impressions; avg position 11.75 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/how-to-resolve-land-disputes-in-nigeria-with,681,Attempt recovery before rejection; keep hidden unless all publication gates pass.
199,https://chamanlawfirm.com/how-to-obtain-standard-organisat-certificate/,How To Obtain Standard Organisat Certificate,general legal education,live 404,58,58,,58 clicks; 11847 impressions; avg position 9.66 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-obtain-standard-organisat-certificate,681,Attempt recovery before rejection; keep hidden unless all publication gates pass.
200,https://chamanlawfirm.com/family-courts-and-specialized-tribunals-2/,Family Courts And Specialized Tribunals 2,litigation/ADR,redirect configured to /resources/blog/family-courts-and-specialized-tribunals-2,66,66,,66 clicks; 5511 impressions; avg position 13.17 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/family-courts-and-specialized-tribunals-2,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/family-courts-and-specialized-tribunals-2,661,Attempt recovery before rejection; keep hidden unless all publication gates pass.
201,https://chamanlawfirm.com/defenses-and-bars-to-a-petition-for-divorce-2/,Defenses And Bars To A Petition For Divorce 2,family law,hidden Sanity draft; do not redirect,66,66,,66 clicks; 2205 impressions; avg position 13.35 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,not confirmed,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/defenses-and-bars-to-a-petition-for-divorce-2,661,Attempt recovery before rejection; keep hidden unless all publication gates pass.
202,https://chamanlawfirm.com/inheritance-rights-of-step-children/,Inheritance Rights Of Step Children,probate/estate,live 404,56,56,,56 clicks; 4397 impressions; avg position 16.12 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/practice-areas/probate-estate-administration,661,Attempt recovery before rejection; keep hidden unless all publication gates pass.
203,https://chamanlawfirm.com/procedure-for-ejecting-a-squatter-in-lagos/,Procedure For Ejecting A Squatter In Lagos,general legal education,live 404,56,56,,56 clicks; 1919 impressions; avg position 5.01 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/procedure-for-ejecting-a-squatter-in-lagos,661,Attempt recovery before rejection; keep hidden unless all publication gates pass.
204,https://chamanlawfirm.com/breach-of-promise-to-marriage-in-nigeria/,Breach Of Promise To Marriage In Nigeria,family law,hidden Sanity draft; do not redirect,65,65,,65 clicks; 6573 impressions; avg position 11.98 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/breach-of-promise-to-marriage-in-nigeria,651,Attempt recovery before rejection; keep hidden unless all publication gates pass.
205,https://chamanlawfirm.com/immigration-service-in-border-management/,Immigration Service In Border Management,immigration,redirect configured to /resources/blog/immigration-service-in-border-management,64,64,,64 clicks; 27604 impressions; avg position 13.97 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/immigration-service-in-border-management,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/immigration-service-in-border-management,641,Attempt recovery before rejection; keep hidden unless all publication gates pass.
206,https://chamanlawfirm.com/how-to-apply-for-certificate-of-occupancy-in-nigeria/,How To Apply For Certificate Of Occupancy In Nigeria,property/title,approved Sanity post; missing old-url redirect,64,64,,64 clicks; 5957 impressions; avg position 13.08 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/how-to-apply-for-certificate-of-occupancy-in-nigeria,641,Attempt recovery before rejection; keep hidden unless all publication gates pass.
207,https://chamanlawfirm.com/proven-steps-onoverview-of-the-child-right-act/,Proven Steps Onoverview Of The Child Right Act,family law,hidden Sanity draft; do not redirect,63,63,,63 clicks; 20853 impressions; avg position 14.57 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,not confirmed,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/proven-steps-onoverview-of-the-child-right-act,631,Attempt recovery before rejection; keep hidden unless all publication gates pass.
208,https://chamanlawfirm.com/certificate-of-occupancy-in-oyo-state/,Certificate Of Occupancy In Oyo State,property/title,approved Sanity post; missing old-url redirect,63,63,,63 clicks; 9258 impressions; avg position 10.65 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/certificate-of-occupancy-in-oyo-state,631,Attempt recovery before rejection; keep hidden unless all publication gates pass.
209,https://chamanlawfirm.com/mastering-nigeria-law-for-contract-an-in/,Mastering Nigeria Law For Contract An In,corporate/commercial,approved Sanity post; missing old-url redirect,63,63,,63 clicks; 6755 impressions; avg position 10.75 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/mastering-nigeria-law-for-contract-an-in,631,Attempt recovery before rejection; keep hidden unless all publication gates pass.
210,https://chamanlawfirm.com/clauses-for-drafting-a-tenancy-agreement/,Clauses For Drafting A Tenancy Agreement,general legal education,hidden Sanity draft; do not redirect,63,63,,63 clicks; 4906 impressions; avg position 11.33 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/clauses-for-drafting-a-tenancy-agreement,631,Attempt recovery before rejection; keep hidden unless all publication gates pass.
211,https://chamanlawfirm.com/documents-to-verify-before-buying-property/,Documents To Verify Before Buying Property,property/title,redirect configured to /practice-areas/property-real-estate-law/property-due-diligence,63,63,,63 clicks; 4881 impressions; avg position 6.12 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,redirect configured to /practice-areas/property-real-estate-law/property-due-diligence,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/property-real-estate-law/property-due-diligence,631,Attempt recovery before rejection; keep hidden unless all publication gates pass.
212,https://chamanlawfirm.com/landlord-and-tenant-relationship/,Landlord And Tenant Relationship,property/title,redirect configured to /resources/blog/landlord-and-tenant-relationship,63,63,,63 clicks; 2493 impressions; avg position 15.73 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/landlord-and-tenant-relationship,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/landlord-and-tenant-relationship,631,Attempt recovery before rejection; keep hidden unless all publication gates pass.
213,https://chamanlawfirm.com/how-to-apply-for-and-get-a-certificate-of-occupancy-in-enugu-state-nigeria/,How To Apply For And Get A Certificate Of Occupancy In Enugu State Nigeria,property/title,approved Sanity post; missing old-url redirect,63,63,,63 clicks; 2390 impressions; avg position 12.75 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/how-to-apply-for-and-get-a-certificate-of-occupancy-in-enugu-state-nigeria,631,Attempt recovery before rejection; keep hidden unless all publication gates pass.
214,https://chamanlawfirm.com/charles-chukwuma-nkwoka/,Charles Chukwuma Nkwoka,general legal education,redirect configured to /lawyers/charles-chukwuma-nkwoka,63,63,,63 clicks; 1321 impressions; avg position 5.03 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,redirect configured to /lawyers/charles-chukwuma-nkwoka,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/lawyers/charles-chukwuma-nkwoka,631,Attempt recovery before rejection; keep hidden unless all publication gates pass.
215,https://chamanlawfirm.com/chaman-legal-team-2/,Chaman Legal Team 2,general legal education,live 404,52,52,,52 clicks; 6486 impressions; avg position 6.96 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as static authority page,https://chamanlawfirm.com/resources/blog/chaman-legal-team-2,621,Attempt recovery before rejection; keep hidden unless all publication gates pass.
216,https://chamanlawfirm.com/role-of-shareholder-in-corporate-decision-making/,Role Of Shareholder In Corporate Decision Making,corporate/commercial,live 404,52,52,,52 clicks; 3869 impressions; avg position 16.1 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as service landing page,https://chamanlawfirm.com/practice-areas/corporate-commercial-law,621,Attempt recovery before rejection; keep hidden unless all publication gates pass.
217,https://chamanlawfirm.com/how-do-i-regularize-land-documents-in-ogun-state/,How Do I Regularize Land Documents In Ogun State,property/title,redirect configured to /resources/blog/how-do-i-regularize-land-documents-in-ogun-state,61,61,,61 clicks; 3901 impressions; avg position 8.81 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/how-do-i-regularize-land-documents-in-ogun-state,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-do-i-regularize-land-documents-in-ogun-state,611,Attempt recovery before rejection; keep hidden unless all publication gates pass.
218,https://chamanlawfirm.com/how-to-file-for-child-custody-in-nigeria-a/,How To File For Child Custody In Nigeria A,family law,redirect configured to /resources/blog/how-to-file-for-child-custody-in-nigeria-a,61,61,,61 clicks; 3472 impressions; avg position 9.14 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/how-to-file-for-child-custody-in-nigeria-a,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-file-for-child-custody-in-nigeria-a,611,Attempt recovery before rejection; keep hidden unless all publication gates pass.
219,https://chamanlawfirm.com/how-to-write-a-demand-letter/,How To Write A Demand Letter,general legal education,live 404,51,51,,51 clicks; 5952 impressions; avg position 32.44 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-write-a-demand-letter,611,Attempt recovery before rejection; keep hidden unless all publication gates pass.
